n,matcher_time,matcher_plus_verifier_time
1,0.09834122657775879,0.047475576400756836
2,0.04687094688415527,0.05075550079345703
4,0.04470324516296387,0.047950029373168945
8,0.06397223472595215,0.06273150444030762
16,0.06401562690734863,0.04771757125854492
32,0.053375959396362305,0.0569300651550293
64,0.07388687133789062,0.043166399002075195
128,0.06298398971557617,0.051633596420288086
256,0.09508180618286133,0.07789444923400879
512,0.19006586074829102,0.20112991333007812
